N,q,log2_q,fully_split,problem,l_M,k_s,n_c,B,distribution,dist_sd,n_LWE,m_LWE,n_SIS,m_SIS,mode,hiding_attack,hiding_log2_rop,hiding_log2_red,hiding_log2_mem,hiding_bkz_beta,hiding_beta,hiding_tag,binding_attack,binding_norm,binding_log2_rop,binding_bkz_beta,binding_beta,inf_binding_log2_rop,inf_binding_attack,inf_binding_log2_red,inf_binding_log2_mem,inf_binding_d,l2_binding_log2_rop,l2_binding_attack,l2_binding_log2_red,l2_binding_log2_mem,l2_binding_d,opening_length,random_length,s_SW,smallwood_rows,range_degree,range_grade,accepted,rejection_reason,notes
256,1054721,20.008,true,commitment_hiding+binding,1,1,1,8,uniform,4.89898,256,256,256,768,rough,usvp,28.032,28.032,,507,96,usvp,,,,,,,,,,,,,,,,768,512,16,48.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,1,16,uniform,9.5219,256,256,256,768,rough,usvp,35.624,35.624,,509,122,usvp,,,,,,,,,,,,,,,,768,512,16,48.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,2,8,uniform,4.89898,256,512,512,1024,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,1024,768,16,64.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,2,16,uniform,9.5219,256,512,512,1024,rough,usvp,32.412,32.412,,594,111,usvp,,,,,,,,,,,,,,,,1024,768,16,64.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,3,8,uniform,4.89898,256,768,768,1280,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,1280,1024,16,80.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,3,16,uniform,9.5219,256,768,768,1280,rough,usvp,32.412,32.412,,594,111,usvp,,,,,,,,,,,,,,,,1280,1024,16,80.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,2,1,8,uniform,4.89898,512,256,256,1024,rough,dual_hybrid,80.596,80.592,,,276,,,,,,,,,,,,,,,,,1024,768,16,64.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,2,1,16,uniform,9.5219,512,256,256,1024,rough,dual_hybrid,96.360,96.360,,,330,,,,,,,,,,,,,,,,,1024,768,16,64.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,2,2,8,uniform,4.89898,512,512,512,1280,rough,usvp,78.548,78.548,,1019,269,usvp,,,,,,,,,,,,,,,,1280,1024,16,80.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,2,2,16,uniform,9.5219,512,512,512,1280,rough,usvp,93.440,93.440,,1023,320,usvp,,,,,,,,,,,,,,,,1280,1024,16,80.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,2,3,8,uniform,4.89898,512,768,768,1536,rough,usvp,76.504,76.504,,1153,262,usvp,,,,,,,,,,,,,,,,1536,1280,16,96.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,2,3,16,uniform,9.5219,512,768,768,1536,rough,usvp,89.060,89.060,,1182,305,usvp,,,,,,,,,,,,,,,,1536,1280,16,96.000,33,direct,no,hiding below target; binding failed,
