N,q,log2_q,fully_split,l_m,l_r,alpha,mode,s_trap,beta_sig,m_sig,attack,log2_rop,log2_red,log2_mem,bkz_beta,d,d_bound,sec_bits,accepted,rejection_reason,sig_bits,pk_bits,beta_lt_q,beta_lt_q2
512,1054721,20.008,true,1,2,1.15,rough,6540.51327113,362512.041382,3072,lattice,66.576,66.576,,1109,228.0,,66.576,no,SIS below target,9455.447,10244.316,true,true
512,1054721,20.008,true,1,2,1.17,rough,6654.26132802,368816.598623,3072,lattice,66.284,66.284,,1107,227.0,,66.284,no,SIS below target,9468.183,10244.316,true,true
512,1054721,20.008,true,1,2,1.23,rough,6995.50549869,387730.270347,3072,lattice,65.700,65.700,,1103,225.0,,65.700,no,SIS below target,9505.123,10244.316,true,true
512,1054721,20.008,true,1,2,1.48,rough,8417.3562098,466537.235865,3072,lattice,62.780,62.780,,1087,215.0,,62.780,no,SIS below target,9641.796,10244.316,true,true
512,1054721,20.008,true,1,2,2.04,rough,11602.3018027,643064.838625,3072,,,,,,,,,no,estimate failed,9878.838,10244.316,true,false
512,1054721,20.008,true,2,2,1.15,rough,6540.51327113,391557.756707,3584,lattice,65.408,65.408,,1102,224.0,,65.408,no,SIS below target,9512.379,10244.316,true,true
512,1054721,20.008,true,2,2,1.17,rough,6654.26132802,398367.456824,3584,lattice,65.116,65.116,,1101,223.0,,65.116,no,SIS below target,9525.115,10244.316,true,true
512,1054721,20.008,true,2,2,1.23,rough,6995.50549869,418796.557174,3584,lattice,64.240,64.240,,1097,220.0,,64.240,no,SIS below target,9562.056,10244.316,true,true
512,1054721,20.008,true,2,2,1.48,rough,8417.3562098,503917.808632,3584,lattice,61.612,61.612,,1081,211.0,,61.612,no,SIS below target,9698.728,10244.316,true,true
512,1054721,20.008,true,2,2,2.04,rough,11602.3018027,694589.411898,3584,,,,,,,,,no,estimate failed,9935.770,10244.316,true,false
512,1054721,20.008,true,4,2,1.15,rough,6540.51327113,443984.7635,4608,lattice,63.364,63.364,,1092,217.0,,63.364,no,SIS below target,9605.197,10244.316,true,true
512,1054721,20.008,true,4,2,1.17,rough,6654.26132802,451706.237648,4608,lattice,63.072,63.072,,1090,216.0,,63.072,no,SIS below target,9617.933,10244.316,true,true
512,1054721,20.008,true,4,2,1.23,rough,6995.50549869,474870.660091,4608,lattice,62.488,62.488,,1086,214.0,,62.488,no,SIS below target,9654.874,10244.316,true,true
512,1054721,20.008,true,4,2,1.48,rough,8417.3562098,571389.086939,4608,,,,,,,,,no,estimate failed,9791.546,10244.316,true,false
512,1054721,20.008,true,4,2,2.04,rough,11602.3018027,787590.363078,4608,,,,,,,,,no,estimate failed,10028.588,10244.316,true,false
512,1054721,20.008,true,8,2,1.15,rough,6540.51327113,533603.276774,6656,,,,,,,,,no,estimate failed,9741.009,10244.316,true,false
512,1054721,20.008,true,8,2,1.17,rough,6654.26132802,542883.333762,6656,,,,,,,,,no,estimate failed,9753.745,10244.316,true,false
512,1054721,20.008,true,8,2,1.23,rough,6995.50549869,570723.504724,6656,,,,,,,,,no,estimate failed,9790.685,10244.316,true,false
512,1054721,20.008,true,8,2,1.48,rough,8417.3562098,686724.217066,6656,,,,,,,,,no,estimate failed,9927.358,10244.316,true,false
512,1054721,20.008,true,8,2,2.04,rough,11602.3018027,946565.812713,6656,,,,,,,,,no,estimate failed,10164.400,10244.316,true,false
512,1054721,20.008,true,16,2,1.15,rough,6540.51327113,678197.928715,10752,,,,,,,,,no,estimate failed,9918.130,10244.316,true,false
512,1054721,20.008,true,16,2,1.17,rough,6654.26132802,689992.675301,10752,,,,,,,,,no,estimate failed,9930.865,10244.316,true,false
512,1054721,20.008,true,16,2,1.23,rough,6995.50549869,725376.91506,10752,,,,,,,,,no,estimate failed,9967.806,10244.316,true,false
512,1054721,20.008,true,16,2,1.48,rough,8417.3562098,872811.24739,10752,,,,,,,,,no,estimate failed,10104.479,10244.316,true,false
512,1054721,20.008,true,16,2,2.04,rough,11602.3018027,1203064.15181,10752,,,,,,,,,no,estimate failed,10341.520,10244.316,false,false
